antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'SF_C'}),frozenset({'SEP_10'}),0.15249266862170088,0.8973607038123167,0.14076246334310852,0.9230769230769231,1.0286576168929111,0.003921534902520618,1.334310850439884,0.0328719723183391
frozenset({'CME'}),frozenset({'SF_M'}),0.5513196480938416,0.4252199413489736,0.25219941348973607,0.45744680851063835,1.075788701393984,0.017767305062735966,1.0593985394744407,0.157014743882049
frozenset({'SF_M'}),frozenset({'CME'}),0.4252199413489736,0.5513196480938416,0.25219941348973607,0.593103448275862,1.075788701393984,0.017767305062735966,1.1026890004473384,0.1225676317038444
frozenset({'SF_X'}),frozenset({'SEP_10'}),0.31378299120234604,0.8973607038123167,0.2961876832844575,0.9439252336448599,1.051890538146723,0.01461115745478625,1.830400782013689,0.07188795802657187
frozenset({'SF_X'}),frozenset({'SEP_30'}),0.31378299120234604,0.6510263929618768,0.26099706744868034,0.8317757009345794,1.2776374505346468,0.056716058513428674,2.07445421961551,0.3166714683568616
frozenset({'SF_X'}),frozenset({'SEP_60'}),0.31378299120234604,0.4809384164222874,0.2287390029325513,0.7289719626168224,1.5157282881240026,0.07782870804344647,1.9151582566488015,0.4958360727591496
frozenset({'SF_X'}),frozenset({'SEP_100'}),0.31378299120234604,0.34017595307917886,0.17595307917888564,0.5607476635514019,1.648404769577828,0.06921165108659198,1.50215261745804,0.5732193732193733
frozenset({'CME'}),frozenset({'SEP_30'}),0.5513196480938416,0.6510263929618768,0.3782991202346041,0.6861702127659575,1.0539821736630248,0.019375478367059162,1.1119836970028334,0.11415108679130599
frozenset({'CME'}),frozenset({'SEP_60'}),0.5513196480938416,0.4809384164222874,0.2756598240469208,0.5,1.0396341463414633,0.010509025550175854,1.0381231671554252,0.0849673202614378
frozenset({'SEP_30'}),frozenset({'SEP_10'}),0.6510263929618768,0.8973607038123167,0.6510263929618768,1.0,1.1143790849673203,0.06682089077321318,inf,0.2941176470588236
frozenset({'SEP_10'}),frozenset({'SEP_30'}),0.8973607038123167,0.6510263929618768,0.6510263929618768,0.7254901960784313,1.1143790849673203,0.06682089077321318,1.2712609970674487,1.0
frozenset({'SEP_60'}),frozenset({'SEP_10'}),0.4809384164222874,0.8973607038123167,0.4809384164222874,1.0,1.1143790849673203,0.049363180571202536,inf,0.19774011299435035
frozenset({'SEP_10'}),frozenset({'SEP_60'}),0.8973607038123167,0.4809384164222874,0.4809384164222874,0.5359477124183006,1.11437908496732,0.049363180571202536,1.1185411589773242,1.0000000000000002
frozenset({'SEP_100'}),frozenset({'SEP_10'}),0.34017595307917886,0.8973607038123167,0.34017595307917886,1.0,1.1143790849673203,0.03491542040402129,inf,0.15555555555555553
frozenset({'SEP_10'}),frozenset({'SEP_100'}),0.8973607038123167,0.34017595307917886,0.34017595307917886,0.3790849673202614,1.1143790849673203,0.03491542040402129,1.0626639913566909,0.9999999999999998
frozenset({'SEP_60'}),frozenset({'SEP_30'}),0.4809384164222874,0.6510263929618768,0.4809384164222874,1.0,1.5360360360360361,0.1678348139420886,inf,0.6723163841807911
frozenset({'SEP_30'}),frozenset({'SEP_60'}),0.6510263929618768,0.4809384164222874,0.4809384164222874,0.7387387387387387,1.536036036036036,0.1678348139420886,1.9867529578319345,1.0000000000000002
frozenset({'SEP_100'}),frozenset({'SEP_30'}),0.34017595307917886,0.6510263929618768,0.34017595307917886,1.0,1.5360360360360361,0.1187124293736724,inf,0.5288888888888889
frozenset({'SEP_30'}),frozenset({'SEP_100'}),0.6510263929618768,0.34017595307917886,0.34017595307917886,0.5225225225225225,1.5360360360360361,0.1187124293736724,1.3818956454379463,1.0000000000000002
frozenset({'SEP_60'}),frozenset({'SEP_100'}),0.4809384164222874,0.34017595307917886,0.34017595307917886,0.7073170731707317,2.0792682926829267,0.17657226890033623,2.254398826979472,1.0
frozenset({'SEP_100'}),frozenset({'SEP_60'}),0.34017595307917886,0.4809384164222874,0.34017595307917886,1.0,2.0792682926829267,0.17657226890033623,inf,0.7866666666666665
"frozenset({'SF_C', 'CME'})",frozenset({'SEP_30'}),0.06744868035190615,0.6510263929618768,0.04398826979472141,0.6521739130434784,1.0017626321974151,7.739871518133712e-05,1.0032991202346044,0.0018867924528304112
frozenset({'CME'}),"frozenset({'SF_C', 'SEP_30'})",0.5513196480938416,0.07917888563049853,0.04398826979472141,0.07978723404255321,1.007683215130024,0.0003353944324524308,1.0006610953841981,0.01699346405228806
"frozenset({'SF_C', 'SEP_30'})",frozenset({'SEP_10'}),0.07917888563049853,0.8973607038123167,0.07917888563049853,1.0,1.1143790849673203,0.00812686509403944,inf,0.11146496815286626
"frozenset({'SF_C', 'SEP_60'})",frozenset({'SEP_10'}),0.04105571847507331,0.8973607038123167,0.04105571847507331,1.0,1.1143790849673203,0.004213930048761194,inf,0.10703363914373099
"frozenset({'SF_C', 'SEP_100'})",frozenset({'SEP_10'}),0.02932551319648094,0.8973607038123167,0.02932551319648094,1.0,1.1143790849673203,0.0030099500348294214,inf,0.10574018126888216
"frozenset({'SF_C', 'SEP_60'})",frozenset({'SEP_30'}),0.04105571847507331,0.6510263929618768,0.04105571847507331,1.0,1.5360360360360361,0.01432736216578805,inf,0.3639143730886851
"frozenset({'SF_C', 'SEP_30'})",frozenset({'SEP_60'}),0.07917888563049853,0.4809384164222874,0.04105571847507331,0.5185185185185185,1.0781391147244805,0.002975550605859939,1.0780509812767876,0.07870791628753403
"frozenset({'SF_C', 'SEP_100'})",frozenset({'SEP_30'}),0.02932551319648094,0.6510263929618768,0.02932551319648094,1.0,1.5360360360360361,0.010233830118420037,inf,0.35951661631419946
"frozenset({'SF_C', 'SEP_30'})",frozenset({'SEP_100'}),0.07917888563049853,0.34017595307917886,0.02932551319648094,0.3703703703703704,1.0887611749680717,0.002390760313378801,1.0479558392271868,0.08853503184713386
"frozenset({'SF_C', 'SEP_60'})",frozenset({'SEP_100'}),0.04105571847507331,0.34017595307917886,0.02932551319648094,0.7142857142857144,2.099753694581281,0.015359345034872424,2.3093841642228754,0.5461773700305811
"frozenset({'SF_C', 'SEP_100'})",frozenset({'SEP_60'}),0.02932551319648094,0.4809384164222874,0.02932551319648094,1.0,2.0792682926829267,0.015221747318994505,inf,0.5347432024169184
frozenset({'SF_M'}),"frozenset({'CME', 'SEP_10'})",0.4252199413489736,0.4662756598240469,0.20234604105571846,0.4758620689655172,1.0205595315549771,0.004076332332883265,1.0182898595462262,0.0350488021295474
frozenset({'CME'}),"frozenset({'SEP_30', 'SF_M'})",0.5513196480938416,0.24633431085043989,0.1466275659824047,0.2659574468085107,1.0796605876393113,0.010818620410901203,1.026732967826937,0.16444444444444478
frozenset({'CME'}),"frozenset({'SEP_60', 'SF_M'})",0.5513196480938416,0.16715542521994134,0.10557184750733138,0.1914893617021277,1.145576707726764,0.01341577729809687,1.0300972372279673,0.28322440087146006
frozenset({'CME'}),"frozenset({'SEP_100', 'SF_M'})",0.5513196480938416,0.10850439882697947,0.06451612903225806,0.11702127659574468,1.0784933870040254,0.004695522054333899,1.0096456206055895,0.16221033868092694
"frozenset({'SEP_30', 'SF_M'})",frozenset({'SEP_10'}),0.24633431085043989,0.8973607038123167,0.24633431085043989,1.0,1.1143790849673203,0.025283580292567137,inf,0.13618677042801552
"frozenset({'SEP_10', 'SF_M'})",frozenset({'SEP_30'}),0.3724340175953079,0.6510263929618768,0.24633431085043989,0.6614173228346457,1.0159608427324964,0.003869935759066412,1.030689490554457,0.025033377837116236
"frozenset({'SEP_60', 'SF_M'})",frozenset({'SEP_10'}),0.16715542521994134,0.8973607038123167,0.16715542521994134,1.0,1.1143790849673203,0.01715671519852771,inf,0.12323943661971835
"frozenset({'SEP_100', 'SF_M'})",frozenset({'SEP_10'}),0.10850439882697947,0.8973607038123167,0.10850439882697947,1.0,1.1143790849673203,0.011136815128868868,inf,0.1151315789473685
"frozenset({'SEP_60', 'SF_M'})",frozenset({'SEP_30'}),0.16715542521994134,0.6510263929618768,0.16715542521994134,1.0,1.5360360360360361,0.0583328316749942,inf,0.4190140845070423
"frozenset({'SEP_30', 'SF_M'})",frozenset({'SEP_60'}),0.24633431085043989,0.4809384164222874,0.16715542521994134,0.6785714285714285,1.4109320557491287,0.04868379184905529,1.6148582600195498,0.38644276059799293
"frozenset({'SEP_100', 'SF_M'})",frozenset({'SEP_30'}),0.10850439882697947,0.6510263929618768,0.10850439882697947,1.0,1.5360360360360361,0.03786517143815413,inf,0.39144736842105265
"frozenset({'SEP_30', 'SF_M'})",frozenset({'SEP_100'}),0.24633431085043989,0.34017595307917886,0.10850439882697947,0.44047619047619047,1.2948481116584565,0.02470738985732837,1.179259998752106,0.3021348196445473
"frozenset({'SEP_60', 'SF_M'})",frozenset({'SEP_100'}),0.16715542521994134,0.34017595307917886,0.10850439882697947,0.6491228070175439,1.9081972171808834,0.05164214274043052,1.8804985337243405,0.5714693566806244
"frozenset({'SEP_100', 'SF_M'})",frozenset({'SEP_60'}),0.10850439882697947,0.4809384164222874,0.10850439882697947,1.0,2.0792682926829267,0.056320465080279665,inf,0.5822368421052632
"frozenset({'SF_X', 'CME'})",frozenset({'SEP_30'}),0.15835777126099707,0.6510263929618768,0.1378299120234604,0.8703703703703703,1.3369202535869202,0.03473482340193153,2.69208211143695,0.29942916450441104
frozenset({'SF_X'}),"frozenset({'CME', 'SEP_30'})",0.31378299120234604,0.3782991202346041,0.1378299120234604,0.43925233644859807,1.1611243932478446,0.01912608250703038,1.1086999022482893,0.20221858519730856
"frozenset({'SF_X', 'CME'})",frozenset({'SEP_60'}),0.15835777126099707,0.4809384164222874,0.12903225806451613,0.8148148148148148,1.694218608852755,0.05287192232608938,2.8029325513196475,0.48685460880582826
frozenset({'SF_X'}),"frozenset({'SEP_60', 'CME'})",0.31378299120234604,0.2756598240469208,0.12903225806451613,0.411214953271028,1.491747862398091,0.042534893920760916,1.230228552809198,0.48038073038073037
frozenset({'CME'}),"frozenset({'SEP_60', 'SF_X'})",0.5513196480938416,0.2287390029325513,0.12903225806451613,0.23404255319148937,1.0231860338243317,0.0029239514624057328,1.0069240795047247,0.05050505050505065
"frozenset({'SF_X', 'CME'})",frozenset({'SEP_100'}),0.15835777126099707,0.34017595307917886,0.093841642228739,0.5925925925925926,1.7420178799489145,0.039972136462534724,1.6195681151692882,0.5060975609756098
frozenset({'SF_X'}),"frozenset({'CME', 'SEP_100'})",0.31378299120234604,0.17888563049853373,0.093841642228739,0.29906542056074764,1.6718247280527039,0.03771037400779147,1.1714565004887585,0.5856036324786323
"frozenset({'SF_X', 'SEP_30'})",frozenset({'SEP_10'}),0.26099706744868034,0.8973607038123167,0.26099706744868034,1.0,1.1143790849673203,0.026788555309981865,inf,0.13888888888888895
"frozenset({'SF_X', 'SEP_10'})",frozenset({'SEP_30'}),0.2961876832844575,0.6510263929618768,0.26099706744868034,0.8811881188118811,1.3535367050218534,0.06817106836026521,2.937194525904201,0.37111423220973777
frozenset({'SF_X'}),"frozenset({'SEP_30', 'SEP_10'})",0.31378299120234604,0.6510263929618768,0.26099706744868034,0.8317757009345794,1.2776374505346468,0.056716058513428674,2.07445421961551,0.3166714683568616
"frozenset({'SEP_60', 'SF_X'})",frozenset({'SEP_10'}),0.2287390029325513,0.8973607038123167,0.2287390029325513,1.0,1.1143790849673203,0.023477610271669502,inf,0.13307984790874533
"frozenset({'SF_X', 'SEP_10'})",frozenset({'SEP_60'}),0.2961876832844575,0.4809384164222874,0.2287390029325513,0.7722772277227722,1.6057715527650323,0.08629096756993831,2.279357388754302,0.5360042735042734
frozenset({'SF_X'}),"frozenset({'SEP_60', 'SEP_10'})",0.31378299120234604,0.4809384164222874,0.2287390029325513,0.7289719626168224,1.5157282881240026,0.07782870804344647,1.9151582566488015,0.4958360727591496
"frozenset({'SF_X', 'SEP_10'})",frozenset({'SEP_100'}),0.2961876832844575,0.34017595307917886,0.17595307917888564,0.594059405940594,1.7463298053943326,0.07519715172728134,1.625420213146413,0.6072222222222222
"frozenset({'SF_X', 'SEP_100'})",frozenset({'SEP_10'}),0.17595307917888564,0.8973607038123167,0.17595307917888564,1.0,1.1143790849673203,0.018059700208976542,inf,0.12455516014234884
frozenset({'SF_X'}),"frozenset({'SEP_100', 'SEP_10'})",0.31378299120234604,0.34017595307917886,0.17595307917888564,0.5607476635514019,1.648404769577828,0.06921165108659198,1.50215261745804,0.5732193732193733
"frozenset({'SEP_60', 'SF_X'})",frozenset({'SEP_30'}),0.2287390029325513,0.6510263929618768,0.2287390029325513,1.0,1.5360360360360361,0.07982387492367626,inf,0.4524714828897339
"frozenset({'SF_X', 'SEP_30'})",frozenset({'SEP_60'}),0.26099706744868034,0.4809384164222874,0.2287390029325513,0.8764044943820225,1.8222800767333516,0.10321548662292204,4.199680085310585,0.6106023606023605
frozenset({'SF_X'}),"frozenset({'SEP_60', 'SEP_30'})",0.31378299120234604,0.4809384164222874,0.2287390029325513,0.7289719626168224,1.5157282881240026,0.07782870804344647,1.9151582566488015,0.4958360727591496
"frozenset({'SF_X', 'SEP_30'})",frozenset({'SEP_100'}),0.26099706744868034,0.34017595307917886,0.17595307917888564,0.6741573033707866,1.9817900038744676,0.08716815300866007,2.0249772474466585,0.6703703703703704
"frozenset({'SF_X', 'SEP_100'})",frozenset({'SEP_30'}),0.17595307917888564,0.6510263929618768,0.17595307917888564,1.0,1.5360360360360361,0.06140298071052021,inf,0.4234875444839858
frozenset({'SF_X'}),"frozenset({'SEP_100', 'SEP_30'})",0.31378299120234604,0.34017595307917886,0.17595307917888564,0.5607476635514019,1.648404769577828,0.06921165108659198,1.50215261745804,0.5732193732193733
"frozenset({'SEP_60', 'SF_X'})",frozenset({'SEP_100'}),0.2287390029325513,0.34017595307917886,0.17595307917888564,0.7692307692307693,2.261273209549072,0.0981415708499239,2.8592375366568925,0.7231939163498099
"frozenset({'SF_X', 'SEP_100'})",frozenset({'SEP_60'}),0.17595307917888564,0.4809384164222874,0.17595307917888564,1.0,2.0792682926829267,0.09133048391396703,inf,0.6298932384341638
frozenset({'SF_X'}),"frozenset({'SEP_60', 'SEP_100'})",0.31378299120234604,0.34017595307917886,0.17595307917888564,0.5607476635514019,1.648404769577828,0.06921165108659198,1.50215261745804,0.5732193732193733
"frozenset({'CME', 'SEP_30'})",frozenset({'SEP_10'}),0.3782991202346041,0.8973607038123167,0.3782991202346041,1.0,1.1143790849673203,0.03882835544929952,inf,0.16509433962264145
"frozenset({'CME', 'SEP_10'})",frozenset({'SEP_30'}),0.4662756598240469,0.6510263929618768,0.3782991202346041,0.8113207547169812,1.2462179160292368,0.07474135929343573,1.8495601173020533,0.3701763352926144
frozenset({'CME'}),"frozenset({'SEP_30', 'SEP_10'})",0.5513196480938416,0.6510263929618768,0.3782991202346041,0.6861702127659575,1.0539821736630248,0.019375478367059162,1.1119836970028334,0.11415108679130599
"frozenset({'SEP_60', 'CME'})",frozenset({'SEP_10'}),0.2756598240469208,0.8973607038123167,0.2756598240469208,1.0,1.1143790849673203,0.028293530327396565,inf,0.1417004048582996
